RX_ID,X,Y,Z,SNR_dB,RX_Power_dBm,CQI,LOS,User_Request,Request_Label
1,-118.39,-113.19,1.50,12.06,-80.93,9,0,I need real-time traffic updates for navigation,eMBB
2,-113.80,8.09,1.50,20.27,-72.72,12,0,I need reliable communication for firefighters inside buildings,URLLC
3,-239.89,116.17,1.50,1.82,-91.17,5,0,I want to play competitive mobile games with ultra-low latency,URLLC
4,7.68,-63.38,1.50,31.58,-61.41,15,0,I need to balance electrical load in real-time across microgrids,URLLC
5,62.88,-54.57,1.50,26.13,-66.86,14,0,I want to stream music while browsing social media,eMBB
6,-225.01,-62.67,1.50,4.54,-88.45,6,0,I want to play competitive mobile games with ultra-low latency,URLLC
7,-96.22,111.23,1.50,14.94,-78.05,10,0,I need to send text messages and use messaging apps,eMBB
8,-8.07,-30.07,1.50,46.05,-46.94,15,0,I need to download large files,eMBB
9,-23.81,70.68,1.50,30.01,-62.98,15,0,I want to download a large software update,eMBB
10,-175.16,-78.08,1.50,8.78,-84.21,8,0,I want to browse websites and check email,eMBB
11,-221.26,62.76,1.50,5.01,-87.98,6,0,I need reliable communication for firefighters inside buildings,URLLC
12,61.90,-77.90,1.50,22.36,-70.63,12,0,I need to control critical infrastructure with zero downtime,URLLC
13,-205.20,-49.29,1.50,6.76,-86.23,7,0,I want to use augmented reality navigation,eMBB
14,-67.66,96.88,1.50,19.78,-73.21,11,0,I need to monitor IoT sensors in real-time,URLLC
15,34.18,79.26,1.50,26.51,-66.48,14,0,I need to use maps for basic navigation,eMBB
16,-243.89,17.77,1.50,3.63,-89.36,6,0,I need to detect and isolate power grid faults instantly,URLLC
17,-239.27,1.70,1.50,4.09,-88.90,6,0,I need to detect and isolate power grid faults instantly,URLLC
18,-2.20,122.72,1.50,18.91,-74.08,11,0,I need to participate in a video conference meeting,eMBB
19,-47.52,73.92,1.50,26.36,-66.63,14,0,I want to remotely access my work computer,eMBB
20,-34.34,37.62,1.50,38.46,-54.53,15,0,I need to monitor and control critical manufacturing processes in real-time,URLLC
21,-173.51,4.09,1.50,11.09,-81.90,8,0,I need immediate machine shutdown capability for safety incidents,URLLC
22,-3.75,58.13,1.50,35.46,-57.53,15,0,I need microsecond-level latency for high-frequency tradin,URLLC
23,-31.38,-74.29,1.50,26.96,-66.03,14,0,I want to use remote surgery equipment,URLLC
24,-241.66,22.75,1.50,3.79,-89.19,6,0,I want to stream a live sports event in HD,eMBB
25,-43.92,87.54,1.50,23.96,-69.03,13,0,I need to check weather forecasts,eMBB
26,-106.32,-53.76,1.50,19.05,-73.94,11,0,I need to deploy early warning systems for natural disasters,URLLC
27,-125.79,121.04,1.50,11.15,-81.84,8,0,I need immediate machine shutdown capability for safety incidents,URLLC
28,-8.93,36.18,1.50,45.46,-47.53,15,0,I need to download large files,eMBB
29,52.61,-98.05,1.50,19.99,-73.00,11,0,I need to send text messages and use messaging apps,eMBB
30,67.95,57.76,1.50,25.51,-67.48,13,0,I need to synchronize distributed financial ledgers instantly,URLLC
